sample_size,iteration,cut_points_x1,cut_points_x2,beta_star
300,1,"[-0.3956235027856393, 1.202939743355318]","[-1.1836834148507, -0.41034113164281744]","[-0.8626016705190621, 1.9381438646876599, -1.075542194168598, -0.5010944376695248, 1.760525665801866, -1.2594312281323412]"
300,2,"[0.17999344821382807, 0.3594204989897094]","[-0.6047534700650485, -0.1861963841734745]","[-0.48958046277398765, 1.7532232343806222, -1.2636427716066347, -0.6473019134751024, 0.9271302943425035, -0.27982838086740114]"
300,3,"[0.09900166025486301, 0.9447638064024673]","[-0.5674051124665532, 0.5742368710957008]","[-0.27938606180236053, 1.833746793954121, -1.5543607321517603, -0.15007457076177277, 1.1899666975995182, -1.0398921268377457]"
300,4,"[-0.9019447356712519, -0.5584389815809236]","[0.13297232813868703, 0.323958082108349]","[-0.9671261321558378, 1.5484177766952907, -0.5812916445394529, -0.23110351605416224, 1.3277160813946947, -1.0966125653405325]"
300,5,"[-1.1755578835348424, -0.3809764197045217]","[-0.8842680462264421, 0.1501703736870747]","[-0.4535674779740212, 1.1032554377761485, -0.6496879598021271, -0.294497235453809, 0.9664172562922199, -0.6719200208384108]"
300,6,"[0.5693018689188093, 0.940342462080703]","[-0.5286757806845338, 0.5745163949821747]","[-0.875536796800926, 1.2791197462354371, -0.4035829494345111, -0.165762519601186, 0.5913831651056614, -0.4256206455044756]"
300,7,"[-0.8987004065455803, 0.8910639621474217]","[-0.07886984343712075, 0.3255405089361338]","[-0.7558522375474555, 1.1487208407944585, -0.3928686032470029, -0.6382934847786378, 1.6593632784432755, -1.0210697936646373]"
300,8,"[-0.5965294048094495, 0.25092901546258506]","[0.4824118670134877, 1.266995817766455]","[-1.0380948400076513, 1.7751241441620906, -0.7370293041544392, -0.5791074395627291, 1.6181612131263394, -1.0390537735636103]"
300,9,"[-1.330700002049758, -0.34914359263091227]","[-0.5955930238504574, -0.3630067666723259]","[-0.2980007619458205, 1.265815085879626, -0.9678143239338055, -0.8741634825124598, 1.1961556957369381, -0.3219922132244782]"
300,10,"[-0.1457067199602351, 0.7842838394221718]","[-0.1869162953877256, 0.9261027532344087]","[-0.3895226989433334, 1.3743133248713089, -0.9847906259279757, -0.8697840686082706, 1.3617924784893582, -0.4920084098810876]"
300,11,"[-1.2521233797378981, -0.27324660753163144]","[-0.935738774732371, -0.6654459277928563]","[-1.4273289401907665, 1.5763814432278742, -0.1490525030371077, -0.5344768618049636, 1.0123813545852922, -0.47790449278032865]"
300,12,"[0.09861034966748987, 0.31113083720271273]","[-0.8793813350686577, 0.8729840030405365]","[-0.7125812709689224, 0.7171944767190361, -0.0046132057501134804, -0.5592696386018571, 1.1787773353916917, -0.6195076967898346]"
300,13,"[-0.8129962941757407, 1.280084898588951]","[-0.3895814168943459, -0.06414995932560957]","[-0.14893899474199207, 0.693754340808804, -0.5448153460668119, -0.8027913864903083, 1.0165721501421285, -0.2137807636518202]"
300,14,"[0.10038372512048022, 0.682410972006157]","[-1.212411340694496, -0.5551926272371783]","[0.043671738058671694, 1.0054850632425905, -1.0491568013012622, -0.34657122518992606, 0.9282878141024846, -0.5817165889125586]"
300,15,"[-0.5557238561610135, 0.9421166293164398]","[-1.006666463246301, 0.7118893546004235]","[-0.5975532974184201, 1.6544508137469913, -1.0568975163285714, 0.059180358983662085, 1.4025109061524461, -1.4616912651361083]"
300,16,"[0.20461147038534166, 0.46930643892973345]","[-1.1402471896233846, -0.5855133332062149]","[-0.41018371284228694, 0.8980253899912307, -0.48784167714894366, -0.7789593196780469, 1.6525167222103163, -0.8735574025322695]"
300,17,"[-0.8347903713030445, -0.30022091791944794]","[-0.8719902356012277, -0.09177942538233269]","[-1.1288578084853762, 1.2629336172315284, -0.134075808746152, -0.20688115466205925, 1.564503153480293, -1.3576219988182339]"
300,18,"[-0.5783695725719518, 0.581610522063366]","[0.1982052439180027, 1.2933566648287913]","[-0.951521443998275, 1.9703050352087135, -1.0187835912104388, -0.6923775142937401, 1.7801946515155707, -1.0878171372218306]"
300,19,"[-1.393913221045753, 0.9335889813533598]","[0.15914620424754128, 0.6056736230832687]","[-0.4092168974311564, 1.8891703582936152, -1.4799534608624585, -0.7694964126191162, 1.2801134713299807, -0.5106170587108646]"
300,20,"[0.6159645329860084, 1.2654145188419292]","[-1.2776279630216807, -0.8711711038233131]","[-0.5458639436527537, 1.230509507556787, -0.6846455639040332, -1.1759252741612127, 1.7431554988029474, -0.5672302246417344]"
300,21,"[1.028250409427753, 1.4992647130372025]","[0.17767876248800019, 1.407995277220922]","[-1.818278169478305, 2.0152557023482416, -0.19697753286993652, -0.07191380157660643, 1.080671355969355, -1.0087575543927487]"
300,22,"[-0.6918026662964882, 0.5160587472257081]","[-0.7061006110298289, 1.190622229759573]","[0.12744252576105453, 0.7200352967136608, -0.8474778224747155, -0.24168099422524586, 0.9065802245224996, -0.6648992302972536]"
300,23,"[0.20136688891015042, 0.38423305570137545]","[-0.5762672080957855, 0.33922234950418617]","[-0.32510284207719164, 1.0480161967742725, -0.7229133546970808, -0.7548293097902579, 1.4111489443414795, -0.6563196345512217]"
300,24,"[-0.632958482114516, -0.14180368749655559]","[0.5172442364271086, 0.7379941914565267]","[-0.22187632477811822, 0.49415658448076905, -0.2722802597026509, -0.8207722695416793, 1.8176333947467578, -0.9968611252050787]"
300,25,"[-0.22017740533624613, -0.006841581439406275]","[-0.3307230459866792, 0.5213077000472705]","[-0.46738823408119684, 0.7082325871020879, -0.2408443530208911, -0.32705558997718015, 1.3974494760948464, -1.070393886117666]"
300,26,"[-0.8165324939437765, 1.3858409710126045]","[-0.4457338291149656, 0.1856854397489726]","[-0.8083775590156068, 1.1047350237605786, -0.2963574647449717, -1.0178840184512772, 1.945796264340965, -0.9279122458896879]"
300,27,"[0.8461828573721439, 1.2015542767025782]","[-0.7097884310062775, 0.22798442238325214]","[-0.4763183748116482, 0.6822092257101985, -0.2058908508985502, -0.6057001039350135, 1.545991707867366, -0.9402916039323524]"
300,28,"[-1.1790832215716462, 0.6985566087236755]","[-0.8327512187650776, 1.3206415844691288]","[-0.15483966340367034, 1.3279570507775178, -1.1731173873738476, -0.9414822008644483, 1.4655363809990962, -0.5240541801346479]"
300,29,"[-0.9742506112347219, 0.9185876363719462]","[-0.6071325066196288, 1.3647806979011903]","[-0.25323728244327753, 0.8365905126674213, -0.583353230224144, -0.6395142942532558, 0.8118862682753837, -0.17237197402212812]"
300,30,"[-0.3190573289334179, 0.8587740527288568]","[-0.22402000850957055, 0.6950008700530215]","[-0.26487594836508166, 0.48699703718094545, -0.2221210888158637, -1.2607914104087226, 1.7214460014178827, -0.4606545910091601]"
300,31,"[-0.29551949885444584, 1.0104013602375082]","[-0.19313129203989784, 0.8081759480069817]","[-1.0842363853841663, 1.7207335596951852, -0.636497174311019, -0.8378979564436866, 1.4049164384918984, -0.567018482048212]"
300,32,"[-1.2701161438900463, -0.9385091493175657]","[0.7607945193914717, 1.3345747411058695]","[-0.4483764379564149, 1.6244127101925567, -1.1760362722361417, -1.1493173737253204, 1.1655907971043087, -0.016273423378988183]"
300,33,"[0.12501862506952932, 0.36523548425757335]","[0.09333244603360118, 0.9133216059808988]","[-0.7883629450138531, 1.7007669282991948, -0.9124039832853418, -0.4876656714871293, 2.0548595278485746, -1.5671938563614451]"
300,34,"[-0.05747460492310055, 0.9781334649478424]","[-0.5252225809776424, 0.6599153694675586]","[-0.7659746559890759, 1.5258297936559728, -0.7598551376668972, -0.06607536110213291, 1.1788736525693366, -1.1127982914672037]"
300,35,"[-0.7351187828407307, 0.1620429941140341]","[0.5696241525473966, 1.38812235147344]","[-0.40926418049436875, 1.0913682259545516, -0.6821040454601831, -0.3506635763485, 1.9426905573167241, -1.5920269809682241]"
300,36,"[0.23575478435227495, 1.2190055349357247]","[-1.3378414168840027, -0.9059050963487114]","[-0.4931148925954226, 0.9625421207841734, -0.46942722818875093, -1.0713603804555922, 1.2179220507823443, -0.14656167032675216]"
300,37,"[0.5857441743589764, 1.2949215625829555]","[-1.1300080952207723, 0.9467470778557184]","[-0.5793336412089787, 1.0756649246066956, -0.496331283397717, -0.6724079045741149, 1.6154899747190836, -0.9430820701449685]"
300,38,"[-0.24205740168102285, 0.8269844027848973]","[-0.6796405265832715, -0.43204233702643735]","[-0.8322995706926399, 0.8744812425469256, -0.04218167185428559, -0.20272348478831806, 1.3568458585200298, -1.154122373731712]"
300,39,"[-0.5063071475466695, -0.05156517071169564]","[-0.9041644571941239, -0.5831127733116377]","[-1.1104939862662315, 1.6505463614998486, -0.5400523752336168, -0.28750275710494555, 0.8873962065863662, -0.5998934494814208]"
300,40,"[-0.9950075411562092, -0.7186957920843633]","[-1.407922997712654, 1.0566501876564482]","[-0.42794663584149784, 1.1202810248525752, -0.6923343890110774, -0.9764924353436097, 1.4361213753023696, -0.45962893995875986]"
300,41,"[-0.8845993695833304, 1.2455484892931759]","[-0.8446847880456487, -0.27159734702377575]","[-0.4709019632935585, 1.0469872928967638, -0.5760853296032054, -1.2689973788480138, 1.483768172771201, -0.21477079392318726]"
300,42,"[-1.1959437069893624, -0.8718868604238393]","[-0.8196616704032317, 0.17294488810024772]","[-1.3750597748675237, 1.5218428593663873, -0.14678308449886357, -0.5190108199073371, 1.5323752687638852, -1.0133644488565479]"
